PheCode,Number.of.cases,Number.of.controls,Number.of.excluded.controls,Phenotype.Description,Phenotype.Category,URL.ManhattanPlot,Colors
008,"8,991","399,970",0,Intestinal infection,infectious diseases,https://www.dropbox.com/s/gcgebupbmxyd99a/008-Intestinalinfection-8991cases-399970controls.mh.pdf?dl=0,orange4
008.5,"2,737","399,970","6,254",Bacterial enteritis,infectious diseases,https://www.dropbox.com/s/h113mxbyyh5o4u2/008.5-Bacterialenteritis-2737cases-399970controls.mh.pdf?dl=0,orange4
008.52,650,"399,970","8,341",Intestinal infection due to C. difficile,infectious diseases,https://www.dropbox.com/s/7uefns29a0l44fy/008.52-IntestinalinfectionduetoC.difficile-650cases-399970controls.mh.pdf?dl=0,orange4
008.6,862,"399,970","8,129",Viral Enteritis,infectious diseases,https://www.dropbox.com/s/tbcm6e74mre23pe/008.6-ViralEnteritis-862cases-399970controls.mh.pdf?dl=0,orange4
008.7,55,"399,970","8,936",Intestinal infection due to protozoa,infectious diseases,https://www.dropbox.com/s/gm6wxym4tiamqpm/008.7-Intestinalinfectionduetoprotozoa-55cases-399970controls.mh.pdf?dl=0,orange4
010,168,"393,897","14,896",Tuberculosis,infectious diseases,https://www.dropbox.com/s/26p4tow0qfl65r5/010-Tuberculosis-168cases-393897controls.mh.pdf?dl=0,orange4
038,"4,005","393,897","11,059",Septicemia,infectious diseases,https://www.dropbox.com/s/mo8rg4pvi4i9eyp/038-Septicemia-4005cases-393897controls.mh.pdf?dl=0,orange4
038.1,832,"393,897","14,232",Gram negative septicemia,infectious diseases,https://www.dropbox.com/s/hp0oib8kx169bir/038.1-Gramnegativesepticemia-832cases-393897controls.mh.pdf?dl=0,orange4
038.2,492,"393,897","14,572",Gram positive septicemia,infectious diseases,https://www.dropbox.com/s/x5n8kwuss7wh18i/038.2-Grampositivesepticemia-492cases-393897controls.mh.pdf?dl=0,orange4
041,"12,187","393,897","2,877",Bacterial infection NOS,infectious diseases,https://www.dropbox.com/s/txmsj5ltpoe826f/041-BacterialinfectionNOS-12187cases-393897controls.mh.pdf?dl=0,orange4
041.1,"3,149","393,897","11,915",Staphylococcus infections,infectious diseases,https://www.dropbox.com/s/i4d4uda2qu4wh4i/041.1-Staphylococcusinfections-3149cases-393897controls.mh.pdf?dl=0,orange4
