Gene	CHR	nSNP
7SK	1	1
A1BG	19	12
A1CF	10	8
A2LD1	13	2
A2M	12	42
A2ML1	12	72
A2MP1	12	1
A4GALT	22	7
A4GNT	3	8
AAAS	12	15
AACS	12	25
AADAC	3	17
AADACL2	3	14
AADACL3	1	19
AADACL4	1	11
AADAT	4	5
AAED1	9	8
AAGAB	15	11
AAK1	2	20
AAMP	2	10
AANAT	17	10
AAR2	20	9
AARD	8	2
AARS	16	26
AARS2	6	35
AARSD1	17	21
AASDH	4	42
AASDHPPT	11	3
AASS	7	20
AATF	17	26
AATK	17	18
ABAT	16	7
ABCA1	9	68
ABCA10	17	58
ABCA12	2	60
ABCA13	7	201
ABCA2	9	18
ABCA3	16	51
ABCA4	1	132
ABCA5	17	49
ABCA6	17	59
ABCA7	19	88
ABCA8	17	71
ABCA9	17	47
ABCB1	7	44
ABCB10	1	11
ABCB11	2	54
ABCB4	7	31
ABCB5	7	82
ABCB6	2	47
ABCB7	X	12
ABCB8	7	25
ABCB9	12	15
ABCC1	16	43
ABCC10	6	50
ABCC11	16	63
ABCC12	16	64
ABCC13	21	1
ABCC2	10	72
ABCC3	17	46
ABCC4	13	48
ABCC5	3	14
ABCC6	16	47
ABCC8	11	31
ABCC9	12	22
ABCD1	X	4
ABCD2	12	10
ABCD3	1	3
ABCD4	14	28
ABCE1	4	1
ABCF1	6	11
ABCF2	7	6
ABCF3	3	17
ABCG1	21	7
ABCG2	4	30
ABCG4	11	10
ABCG5	2	26
ABCG8	2	39
ABHD1	2	19
ABHD10	3	12
ABHD11	7	4
ABHD12	20	10
ABHD12B	14	18
ABHD13	13	7
ABHD14A	3	12
ABHD14A-ACY1	3	22
ABHD14B	3	6
ABHD15	17	5
ABHD16A	6	11
ABHD16B	20	11
ABHD2	15	5
ABHD3	18	9
ABHD4	14	10
ABHD5	3	7
ABHD6	3	7
ABHD8	19	7
ABI1	10	6
ABI2	2	6
ABI3	17	9
ABI3BP	3	34
ABL1	9	18
ABL2	1	20
ABLIM1	10	28
ABLIM2	4	17
ABLIM3	5	24
ABO	9	1
ABP1	7	32
ABR	17	10
ABRA	8	9
ABRACL	6	3
ABT1	6	5
ABTB1	3	12
ABTB2	11	16
AC002116.8	19	1
AC002310.13	16	2
AC002398.9	19	8
AC003101.1	17	1
AC003682.1	19	20
AC004381.6	16	19
AC004507.1	5	1
AC005071.2	7	3
AC005306.3	19	1
AC005324.8-001	17	9
AC005594.1	19	1
AC005863.1	17	1
AC005943.2	19	1
AC006019.4	7	1
AC006116.20	19	1
AC006460.2	2	1
AC006538.4	19	1
AC007036.5	7	1
AC007731.1	22	1
AC008537.2	19	1
AC008734.1	19	12
AC008734.2	19	48
AC009120.5	16	1
AC009133.19	16	2
AC009264.1	7	1
AC009365.3	7	1
AC010336.1	19	3
AC010336.2	19	9
AC010547.9	16	1
AC010872.2	2	1
AC011443.1	19	12
AC011484.1	19	7
AC012123.1	18	3
AC012487.2	2	1
AC012499.1	2	1
AC013461.1	2	23
AC016757.1	2	1
AC019117.1	7	1
AC019221.4	2	1
AC020907.1	19	1
AC020907.3	19	3
AC021066.1	12	1
AC022007.5	3	2
AC022415.1	19	2
AC022532.1	10	3
AC022762.1	11	1
AC024592.12	19	2
AC025674.1	8	1
AC027323.1	5	8
AC027763.2	17	1
AC037459.4	8	3
AC062028.1	2	1
AC062031.1	2	1
AC068533.7	7	2
AC069154.2	2	21
AC069368.3	15	12
AC073333.8	7	1
AC074091.13	2	1
AC074389.6	7	1
AC078953.1	3	1
AC083884.8	7	1
AC084219.2	19	19
AC091133.1	17	1
AC091814.2	12	1
AC093063.1	19	1
AC093510.2	5	8
AC093726.4	7	3
AC099489.1	16	1
AC100803.1	8	66
AC103710.1	11	1
AC104667.3	2	1
AC104942.1	11	1
AC106782.18	16	1
AC106900.6	2	1
AC110781.3	7	1
AC112502.1	3	1
AC114772.1	2	1
AC114947.1	5	11
AC118274.1	15	9
AC133919.6	16	1
AC135050.1	16	2
AC138430.4	19	40
AC144525.1	2	1
ACAA1	3	13
ACAA2	18	12
ACACA	17	23
ACACB	12	66
ACAD10	12	52
ACAD11	3	28
ACAD8	11	9
ACAD9	3	18
ACADL	2	14
ACADM	1	18
ACADS	12	11
ACADSB	10	15
ACADVL	17	22
ACAN	15	74
ACAP1	17	19
ACAP2	3	8
ACAP3	1	10
ACAT1	11	12
ACAT2	6	9
ACBD3	1	10
ACBD4	17	14
ACBD5	10	19
ACBD6	1	4
ACBD7	10	3
ACCS	11	19
ACCSL	11	21
ACD	16	15
ACE	17	47
ACE2	X	14
ACER1	19	10
ACER2	9	5
ACER3	11	3
ACHE	7	10
ACIN1	14	32
ACLY	17	13
ACMSD	2	14
ACN9	7	5
ACO1	9	30
ACO2	22	9
ACOT11	1	28
ACOT12	5	21
ACOT13	6	4
ACOT2	14	3
ACOT4	14	6
ACOT6	14	8
ACOT7	1	3
ACOT8	20	19
ACOT9	X	5
ACOX1	17	19
ACOX2	3	29
ACOX3	4	39
ACOXL	2	36
ACP1	2	8
ACP2	11	15
ACP5	19	8
ACP6	1	18
ACPL2	3	12
ACPP	3	14
ACPT	19	6
ACR	22	5
ACRBP	12	16
ACRC	X	14
ACRV1	11	9
ACSBG1	15	11
ACSBG2	19	35
ACSF2	17	14
ACSF3	16	29
ACSL1	4	17
ACSL3	2	13
ACSL4	X	4
ACSL5	10	22
ACSL6	5	15
ACSM1	16	30
ACSM2A	16	6
ACSM2B	16	5
ACSM3	16	22
ACSM4	12	23
ACSM5	16	20
ACSS1	20	15
ACSS2	20	20
ACSS3	12	10
ACTA2	10	102
ACTB	7	1
ACTBL2	5	21
ACTC1	15	68
ACTG1	17	1
ACTG2	2	3
ACTL10	20	3
ACTL6A	3	7
ACTL6B	7	1
ACTL7A	9	19
ACTL7B	9	10
ACTL8	1	12
ACTL9	19	15
ACTN1	14	9
ACTN2	1	28
ACTN3	11	40
ACTN4	19	9
ACTR10	14	8
ACTR1A	10	1
ACTR1B	2	9
ACTR3	2	1
ACTR3B	7	2
ACTR3C	7	3
ACTR5	20	9
ACTR6	12	6
ACTR8	3	14
ACTRT1	X	12
ACTRT2	1	10
ACTRT3	3	8
ACVR1	2	4
ACVR1B	12	2
ACVR1C	2	11
ACVR2A	2	4
ACVR2B	3	5
ACVRL1	12	7
ACY1	3	20
ACY3	11	13
ACYP1	14	2
ACYP2	2	2
AD000671.6	19	1
ADA	20	11
ADAD1	4	8
ADAD2	16	24
ADAL	15	11
ADAM10	15	9
ADAM11	17	7
ADAM12	10	24
ADAM15	1	29
ADAM17	2	20
ADAM18	8	37
ADAM19	5	30
ADAM2	8	37
ADAM20	14	27
ADAM21	14	11
ADAM22	7	19
ADAM23	2	17
ADAM28	8	38
ADAM29	4	15
ADAM30	1	25
ADAM32	8	27
ADAM33	20	19
ADAM7	8	37
ADAM8	10	34
ADAM9	8	11
ADAMDEC1	8	20
ADAMTS1	21	23
ADAMTS10	19	19
ADAMTS12	5	39
ADAMTS13	9	45
ADAMTS14	10	43
ADAMTS15	11	22
ADAMTS16	5	48
ADAMTS17	15	42
ADAMTS18	16	69
ADAMTS19	5	18
ADAMTS2	5	25
ADAMTS20	12	49
ADAMTS3	4	35
ADAMTS4	1	41
ADAMTS5	21	21
ADAMTS6	5	9
ADAMTS7	15	20
ADAMTS8	11	19
ADAMTS9	3	50
ADAMTSL1	9	62
ADAMTSL2	9	4
ADAMTSL3	15	65
ADAMTSL4	1	44
ADAMTSL5	19	13
ADAP1	7	7
ADAP2	17	7
ADAR	1	14
ADARB1	21	4
ADARB2	10	24
ADARB2-AS1	10	1
ADAT1	16	26
ADAT2	6	8
ADAT3	19	7
ADC	1	20
ADCK1	14	24
ADCK2	7	24
ADCK3	1	24
ADCK4	19	13
ADCK5	8	9
ADCY1	7	9
ADCY10	1	56
ADCY2	5	22
ADCY3	2	18
ADCY4	14	32
ADCY5	3	20
ADCY6	12	25
ADCY7	16	29
ADCY8	8	20
ADCY9	16	18
ADCYAP1	18	3
ADCYAP1R1	7	10
ADD1	4	13
ADD2	2	23
ADD3	10	17
ADGB	6	25
ADH1A	4	5
ADH1B	4	92
ADH1C	4	10
ADH4	4	16
ADH5	4	1
ADH6	4	14
ADH7	4	27
ADHFE1	8	15
ADI1	2	7
ADIG	20	3
ADIPOQ	3	12
ADIPOR2	12	4
ADK	10	2
ADM	11	2
ADM2	22	4
ADNP	20	17
ADNP2	18	25
ADO	10	3
ADORA1	1	7
ADORA2A	22	9
ADORA2B	17	10
ADORA3	1	17
ADPGK	15	10
ADPRH	3	8
ADPRHL1	13	13
ADPRHL2	1	8
ADPRM	17	8
ADRA1A	8	17
ADRA1B	5	3
ADRA1D	20	6
ADRA2A	10	2
ADRA2B	2	7
ADRA2C	4	2
ADRB1	10	4
ADRB2	5	7
ADRB3	8	6
ADRBK1	11	5
ADRBK2	22	11
ADRM1	20	8
ADSL	22	19
ADSS	1	4
ADSSL1	14	15
ADTRP	6	11
AEBP1	7	24
AEN	15	16
AES	19	1
AF165138.7	21	2
AF196779.12	X	4
AFAP1	4	24
AFAP1L1	5	30
AFAP1L2	10	37
AFF1	4	29
AFF2	X	18
AFF3	2	22
AFF4	5	11
AFG3L2	18	6
AFM	4	22
AFMID	17	13
AFP	4	23
AFTPH	2	30
AGA	4	13
AGAP1	2	23
AGAP2	12	11
AGAP3	7	10
AGAP6	10	1
AGBL1	15	52
AGBL2	11	26
AGBL3	7	19
AGBL4	1	10
AGBL5	2	24
AGER	6	17
AGFG1	2	12
AGFG2	7	12
AGGF1	5	23
AGK	7	16
AGL	1	56
AGMAT	1	9
AGMO	7	26
AGPAT1	6	2
AGPAT2	9	11
AGPAT3	21	4
AGPAT4	6	4
AGPAT5	8	9
AGPAT6	8	4
AGPAT9	4	16
AGPHD1	15	13
AGPS	2	4
AGR2	7	3
AGR3	7	11
AGRN	1	64
AGRP	16	4
AGT	1	32
AGTPBP1	9	21
AGTR1	3	8
AGTR2	X	11
AGTRAP	1	8
AGXT	2	17
AGXT2	5	31
AGXT2L1	4	16
AGXT2L2	5	14
AHCTF1	1	32
AHCY	20	10
AHCYL2	7	5
AHDC1	1	20
AHI1	6	38
AHNAK	11	142
AHNAK2	14	97
AHR	7	25
AHRR	5	16
AHSA1	14	3
AHSA2	2	10
AHSG	3	14
AHSP	16	3
AICDA	12	4
AIDA	1	1
AIF1	6	6
AIF1L	9	12
AIFM1	X	5
AIFM2	10	18
AIFM3	22	26
AIM1	6	63
AIM1L	1	34
AIM2	1	8
AIMP1	4	10
AIMP2	7	6
AIP	11	14
